episode_number,user_id,episode_id,last_comment_read_date,created_at,updated_at,tv_show_name,episode_season_number
21,5449324,55531,2016-10-23 18:50:46 +0000 UTC,2016-10-23 18:50:46,2016-10-23 18:50:46,The Simpsons,4
10,5449324,55731,2017-06-21 01:26:54 +0000 UTC,2017-06-21 01:26:54,2017-06-21 01:26:54,The Simpsons,13
18,5449324,55783,2017-06-29 21:03:56 +0000 UTC,2017-06-29 21:03:56,2017-06-29 21:03:56,The Simpsons,15
18,5449324,208335,2016-08-24 18:07:10 +0000 UTC,2016-08-18 03:37:42,2016-08-24 18:07:10,Pokémon,1
35,5449324,208352,2016-08-24 19:08:17 +0000 UTC,2016-08-19 16:16:44,2016-08-24 19:08:17,Pokémon,1
38,5449324,208355,2016-08-24 19:33:59 +0000 UTC,2016-08-24 19:32:43,2016-08-24 19:33:59,Pokémon,1
8,5449324,302869,2017-07-06 12:51:50 +0000 UTC,2017-07-06 12:51:50,2017-07-06 12:51:50,The Simpsons,17
41,5449324,924901,2016-09-11 14:00:25 +0000 UTC,2016-09-11 14:00:25,2016-09-11 14:00:25,Pokémon,5
9,5449324,3232031,2017-07-20 14:00:23 +0000 UTC,2017-07-20 14:00:23,2017-07-20 14:00:23,The Simpsons,22
19,5449324,3286761,2017-07-20 14:00:08 +0000 UTC,2017-07-20 13:59:21,2017-07-20 14:00:08,The Simpsons,22
5,5449324,3436441,2017-08-10 17:36:33 +0000 UTC,2017-08-10 17:36:33,2017-08-10 17:36:33,Game of Thrones,1
20,5449324,4086752,2017-07-20 14:59:35 +0000 UTC,2017-07-20 14:38:02,2017-07-20 14:59:35,The Simpsons,22
4,5449324,4186616,2017-07-20 22:41:22 +0000 UTC,2017-07-20 22:41:22,2017-07-20 22:41:22,The Simpsons,23
5,5449324,4186617,2017-07-20 22:41:38 +0000 UTC,2017-07-20 22:41:38,2017-07-20 22:41:38,The Simpsons,23
14,5449324,4245848,2017-07-21 16:41:25 +0000 UTC,2017-07-20 15:19:01,2017-07-21 16:41:25,The Simpsons,23
20,5449324,4289351,2017-07-21 21:50:24 +0000 UTC,2017-07-21 21:50:24,2017-07-21 21:50:24,The Simpsons,23
22,5449324,4289352,2017-07-21 22:48:55 +0000 UTC,2017-07-21 22:48:55,2017-07-21 22:48:55,The Simpsons,23
1,5449324,4392165,2018-07-13 16:17:17 +0000 UTC,2018-07-13 16:17:17,2018-07-13 16:17:17,Arrested Development,4
1,5449324,4400536,2016-01-14 22:49:43 +0000 UTC,2016-01-31 23:02:55,2016-01-31 23:02:55,Misfits,4
2,5449324,4418487,2016-02-23 00:07:37 +0000 UTC,2016-02-23 02:21:03,2016-02-23 02:22:24,Black Mirror,2
3,5449324,4460002,2018-07-18 02:11:09 +0000 UTC,2018-07-18 02:11:09,2018-07-18 02:11:09,Arrested Development,4
8,5449324,4460008,2018-07-18 15:11:03 +0000 UTC,2018-07-18 15:10:59,2018-07-18 15:11:03,Arrested Development,4
2,5449324,4682065,2016-03-25 20:47:13 +0000 UTC,2016-03-25 20:47:13,2016-03-25 20:47:13,Misfits,5
1,5449324,4770367,2016-04-01 20:32:13 +0000 UTC,2016-04-01 20:30:00,2016-04-01 20:32:14,Under the Dome,2
5,5449324,4837711,2017-04-30 15:51:26 +0000 UTC,2017-04-30 15:51:26,2017-04-30 15:51:26,Faking It (2014),1
6,5449324,4837714,2017-04-30 16:22:45 +0000 UTC,2017-04-30 16:22:45,2017-04-30 16:22:45,Faking It (2014),1
6,5449324,4955012,2017-08-01 06:38:56 +0000 UTC,2017-08-01 06:38:55,2017-08-01 06:38:56,The Simpsons,26
7,5449324,4970654,2017-08-01 06:51:11 +0000 UTC,2017-08-01 06:51:11,2017-08-01 06:51:11,The Simpsons,26
3,5449324,4977793,2016-02-09 23:34:52 +0000 UTC,2016-04-02 22:49:05,2016-04-02 22:49:05,American Horror Story,4
1,5449324,5100930,2018-10-20 22:08:16 +0000 UTC,2018-10-20 22:08:16,2018-10-20 22:08:16,Cucumber,1
22,5449324,5137485,2017-08-02 03:33:48 +0000 UTC,2017-08-02 03:33:48,2017-08-02 03:33:48,The Simpsons,26
1,5449324,5146585,2017-07-06 14:06:11 +0000 UTC,2017-07-06 14:06:09,2017-07-06 14:06:11,Stitchers,1
23,5449324,5168927,2017-06-20 02:30:33 +0000 UTC,2017-06-20 02:30:33,2017-06-20 02:30:33,Studio Bagel,3
4,5449324,5231429,2015-08-17 20:18:49 +0000 UTC,2016-02-23 02:16:05,2016-02-23 02:16:05,Between,1
3,5449324,5278961,2017-08-02 06:21:02 +0000 UTC,2017-08-02 06:21:02,2017-08-02 06:21:02,The Simpsons,27
1,5449324,5293353,2017-06-29 02:28:42 +0000 UTC,2017-06-29 02:28:40,2017-06-29 02:28:42,Master of None,1
9,5449324,5335865,2017-06-04 22:11:17 +0000 UTC,2017-06-04 22:11:17,2017-06-04 22:11:17,Rick and Morty,2
4,5449324,5343278,2016-06-06 19:29:43 +0000 UTC,2016-06-06 19:29:43,2016-06-06 19:29:43,Jane the Virgin,2
5,5449324,5353039,2016-06-20 20:42:42 +0000 UTC,2016-06-20 20:42:42,2016-06-20 20:42:42,Jane the Virgin,2
7,5449324,5372164,2017-06-26 15:54:50 +0000 UTC,2017-06-26 15:54:50,2017-06-26 15:54:50,American Horror Story,5
1,5449324,5380232,2016-06-01 10:59:11 +0000 UTC,2016-06-01 10:59:11,2016-06-01 10:59:11,Scream: The TV Series,2
8,5449324,5385229,2016-01-17 17:27:06 +0000 UTC,2016-01-12 18:40:06,2016-01-17 19:03:31,American Horror Story,5
10,5449324,5406333,2017-06-27 02:04:41 +0000 UTC,2017-06-27 02:04:40,2017-06-27 02:04:41,American Horror Story,5
13,5449324,5408467,2016-10-04 20:44:07 +0000 UTC,2016-10-04 20:44:07,2016-10-04 20:44:07,Scream Queens,1
7,5449324,5473976,2016-02-24 11:26:53 +0000 UTC,2016-02-24 11:29:30,2016-02-24 11:29:30,Shadowhunters,1
19,5449324,5498393,2018-08-09 14:49:36 +0000 UTC,2018-08-09 14:49:36,2018-08-09 14:49:36,The Fosters (2013),3
1,5449324,5504976,2016-02-23 02:31:37 +0000 UTC,2016-02-23 02:31:34,2016-02-23 02:31:34,Cooked,1
2,5449324,5504977,2016-02-21 23:44:37 +0000 UTC,2016-02-23 02:18:59,2016-02-23 02:18:59,Cooked,1
1,5449324,5511598,2016-02-23 02:28:17 +0000 UTC,2016-02-23 02:28:17,2016-02-23 02:28:17,Orange Is the New Black,4
1,5449324,5512411,2016-04-25 13:16:39 +0000 UTC,2016-04-21 02:58:11,2016-04-26 17:29:59,Orphan Black,4
13,5449324,5592673,2016-05-17 21:54:57 +0000 UTC,2016-05-17 21:49:14,2016-05-17 21:54:57,Grace and Frankie,2
1,5449324,5632211,2018-06-12 19:31:05 +0000 UTC,2018-06-12 19:31:05,2018-06-12 19:31:05,Dirk Gently's Holistic Detective Agency,1
1,5449324,5648788,2017-09-24 12:33:01 +0000 UTC,2017-09-24 12:33:01,2017-09-24 12:33:01,The Good Place,1
0,5449324,5653687,2016-12-25 02:57:17 +0000 UTC,2016-12-25 02:57:17,2016-12-25 02:57:17,Sense8,2
1,5449324,5663265,2016-09-15 10:38:20 +0000 UTC,2016-09-15 10:38:20,2016-09-15 10:38:20,American Horror Story,6
12,5449324,5678422,2018-01-27 15:49:13 +0000 UTC,2018-01-27 15:49:13,2018-01-27 15:49:13,Pretty Little Liars,7
9,5449324,5689185,2017-08-06 20:27:33 +0000 UTC,2017-08-06 20:27:33,2017-08-06 20:27:33,Orphan Black,5
10,5449324,5689186,2017-08-06 20:47:09 +0000 UTC,2017-08-06 20:47:09,2017-08-06 20:47:09,Orphan Black,5
3,5449324,5709096,2017-08-05 06:36:38 +0000 UTC,2017-08-05 06:36:38,2017-08-05 06:36:38,The Simpsons,28
2,5449324,5711414,2016-10-12 09:49:07 +0000 UTC,2016-10-08 11:04:33,2016-10-12 09:49:07,Timeless (2016),1
3,5449324,5720966,2016-10-16 11:07:23 +0000 UTC,2016-10-16 11:07:23,2016-10-16 11:07:23,Scream Queens,2
3,5449324,5720969,2016-10-08 15:08:38 +0000 UTC,2016-10-08 15:08:38,2016-10-08 15:08:38,The Exorcist,1
6,5449324,5734311,2017-10-27 22:28:19 +0000 UTC,2017-10-27 22:28:19,2017-10-27 22:28:19,Stranger Things,2
3,5449324,5737314,2017-04-22 22:49:01 +0000 UTC,2017-04-22 22:48:53,2017-04-22 22:49:01,This Is Us,1
20,5449324,5747540,2018-01-27 17:04:58 +0000 UTC,2018-01-27 17:04:58,2018-01-27 17:04:58,Pretty Little Liars,7
5,5449324,5771464,2018-07-20 03:47:44 +0000 UTC,2018-07-20 03:47:44,2018-07-20 03:47:44,The Deuce,1
6,5449324,5771465,2018-07-20 07:26:49 +0000 UTC,2018-07-20 07:26:49,2018-07-20 07:26:49,The Deuce,1
8,5449324,5813457,2017-08-07 13:43:38 +0000 UTC,2017-08-07 13:41:40,2017-08-07 13:43:38,The Simpsons,28
9,5449324,5842562,2018-06-15 21:25:57 +0000 UTC,2018-06-15 21:25:57,2018-06-15 21:25:57,The Last Man on Earth,3
2,5449324,5865201,2017-04-28 23:15:20 +0000 UTC,2017-04-28 23:15:20,2017-04-28 23:15:20,Bapt & Gaël and the Adventures of the Cosmic Ball,1
10,5449324,5880101,2018-06-15 21:29:48 +0000 UTC,2018-06-15 21:29:48,2018-06-15 21:29:48,The Last Man on Earth,3
12,5449324,5907330,2017-08-08 08:58:55 +0000 UTC,2017-08-08 08:58:52,2017-08-08 08:58:55,The Simpsons,28
13,5449324,5907332,2017-08-08 08:58:26 +0000 UTC,2017-08-08 08:58:22,2017-08-08 08:58:26,The Simpsons,28
18,5449324,5920632,2017-08-26 00:55:12 +0000 UTC,2017-08-26 00:55:09,2017-08-26 00:55:12,Little Witch Academia,1
1,5449324,5929540,2017-07-18 15:08:19 +0000 UTC,2017-07-18 15:08:19,2017-07-18 15:08:19,Will,1
1,5449324,5962830,2017-05-14 20:53:49 +0000 UTC,2017-04-21 19:36:04,2017-05-14 20:53:49,Orange Is the New Black,5
16,5449324,5963748,2017-04-26 01:28:09 +0000 UTC,2017-04-26 01:27:27,2017-04-26 01:28:09,Jane the Virgin,3
3,5449324,5972261,2017-06-30 00:39:42 +0000 UTC,2017-06-30 00:39:42,2017-06-30 00:39:42,Cable Girls,1
18,5449324,5978612,2017-08-08 09:24:03 +0000 UTC,2017-08-08 09:24:03,2017-08-08 09:24:03,The Simpsons,28
0,5449324,5987611,2017-08-25 22:20:24 +0000 UTC,2017-08-25 22:20:24,2017-08-25 22:20:24,Scream: The TV Series,3
1,5449324,5988101,2017-06-23 14:44:41 +0000 UTC,2017-06-23 00:34:48,2017-06-23 14:44:41,GLOW,1
19,5449324,6000756,2017-08-08 09:22:40 +0000 UTC,2017-08-08 09:22:40,2017-08-08 09:22:40,The Simpsons,28
11,5449324,6004962,2017-04-15 20:15:25 +0000 UTC,2017-04-15 20:15:25,2017-04-15 20:15:25,Riverdale,1
20,5449324,6028560,2017-08-09 10:51:39 +0000 UTC,2017-08-09 10:51:39,2017-08-09 10:51:39,The Simpsons,28
22,5449324,6028563,2017-08-09 12:58:33 +0000 UTC,2017-08-09 12:58:33,2017-08-09 12:58:33,The Simpsons,28
3,5449324,6036848,2017-04-28 19:02:38 +0000 UTC,2017-04-28 19:02:31,2017-04-28 19:02:38,Skam,4
6,5449324,6038184,2017-05-20 09:34:15 +0000 UTC,2017-05-20 09:34:15,2017-05-20 09:34:15,Skam,4
9,5449324,6038187,2017-06-18 02:09:09 +0000 UTC,2017-06-18 02:09:09,2017-06-18 02:09:09,Skam,4
10,5449324,6038188,2017-06-26 01:24:19 +0000 UTC,2017-06-23 20:08:50,2017-06-26 01:24:19,Skam,4
1,5449324,6042595,2017-08-07 13:44:17 +0000 UTC,2017-08-07 09:54:29,2017-08-07 13:44:17,The Sinner,1
4,5449324,6044240,2017-07-18 11:35:11 +0000 UTC,2017-07-18 11:35:11,2017-07-18 11:35:11,The Mist,1
5,5449324,6044242,2017-07-20 15:50:57 +0000 UTC,2017-07-20 15:50:57,2017-07-20 15:50:57,The Mist,1
7,5449324,6044246,2017-08-07 09:09:02 +0000 UTC,2017-08-07 09:09:02,2017-08-07 09:09:02,The Mist,1
8,5449324,6044250,2017-08-13 15:53:17 +0000 UTC,2017-08-13 15:53:14,2017-08-13 15:53:17,The Mist,1
10,5449324,6051454,2017-06-14 22:10:23 +0000 UTC,2017-06-14 22:10:21,2017-06-14 22:10:23,The Handmaid's Tale,1
4,5449324,6056380,2018-04-18 00:40:24 +0000 UTC,2018-04-18 00:40:23,2018-04-18 00:40:24,Money Heist,1
9,5449324,6063221,2017-10-24 20:28:50 +0000 UTC,2017-10-24 20:28:50,2017-10-24 20:28:50,The Fosters (2013),5
1,5449324,6084459,2017-07-21 17:30:35 +0000 UTC,2017-07-21 17:30:35,2017-07-21 17:30:35,Room 104,1
1,5449324,6086091,2017-07-03 05:04:19 +0000 UTC,2017-07-03 05:04:17,2017-07-03 05:04:19,Life of Kylie,1
1,5449324,6104951,2017-07-21 00:09:56 +0000 UTC,2017-07-20 15:50:13,2017-07-21 00:09:56,Ozark,1
1,5449324,6113562,2017-12-29 22:10:22 +0000 UTC,2017-12-29 22:10:22,2017-12-29 22:10:22,Black Mirror,4
10,5449324,6117111,2017-07-18 14:27:35 +0000 UTC,2017-07-18 14:27:35,2017-07-18 14:27:35,Duels,1
1,5449324,6122057,2017-06-11 23:17:49 +0000 UTC,2017-06-11 23:17:49,2017-06-11 23:17:49,Planet of the Apps,1
2,5449324,6122115,2017-07-19 22:56:23 +0000 UTC,2017-07-19 22:56:19,2017-07-19 22:56:23,Planet of the Apps,1
47,5449324,6123306,2017-06-14 22:06:43 +0000 UTC,2017-06-14 22:06:42,2017-06-14 22:06:43,,2
1,5449324,6124813,2017-07-20 23:57:24 +0000 UTC,2017-07-20 23:57:24,2017-07-20 23:57:24,Jane the Virgin,4
1,5449324,6130328,2017-09-07 17:38:02 +0000 UTC,2017-06-23 19:36:10,2017-09-07 17:38:02,American Horror Story,7
6,5449324,6142499,2017-06-23 21:02:03 +0000 UTC,2017-06-23 21:02:03,2017-06-23 21:02:03,GLOW,1
10,5449324,6142503,2017-06-24 00:32:30 +0000 UTC,2017-06-24 00:32:30,2017-06-24 00:32:30,GLOW,1
1,5449324,6143432,2017-08-10 04:16:45 +0000 UTC,2017-07-19 23:01:15,2017-08-10 04:16:45,Atypical,1
1,5449324,6145225,2017-07-10 13:56:53 +0000 UTC,2017-07-10 13:56:53,2017-07-10 13:56:53,Presque adultes,1
1,5449324,6148885,2017-07-19 19:19:40 +0000 UTC,2017-07-19 19:19:40,2017-07-19 19:19:40,The Exorcist,2
1,5449324,6159331,2017-11-11 21:45:18 +0000 UTC,2017-08-22 06:06:16,2017-11-11 21:45:18,Rita,4
0,5449324,6162341,2017-06-30 03:07:04 +0000 UTC,2017-06-30 02:27:42,2017-06-30 03:07:04,Assassination Classroom,3
3,5449324,6174764,2017-07-18 21:14:16 +0000 UTC,2017-07-18 21:14:16,2017-07-18 21:14:16,Presque adultes,1
9,5449324,6179929,2017-09-26 21:12:40 +0000 UTC,2017-09-26 21:12:40,2017-09-26 21:12:40,Room 104,1
4,5449324,6190907,2017-08-27 04:29:20 +0000 UTC,2017-08-27 04:29:20,2017-08-27 04:29:20,The Sinner,1
1,5449324,6264661,2017-10-23 19:04:36 +0000 UTC,2017-10-23 19:04:33,2017-10-23 19:04:36,Glitch (2015),2
1,5449324,6304596,2018-10-22 22:07:50 +0000 UTC,2018-10-22 22:07:50,2018-10-22 22:07:50,Neo Yokio,1
1,5449324,6305534,2017-10-31 17:30:39 +0000 UTC,2017-10-31 17:30:39,2017-10-31 17:30:39,Gerald's Game,1
0,5449324,6359522,2017-10-23 21:33:24 +0000 UTC,2017-10-23 21:32:51,2017-10-23 21:33:24,Orange Is the New Black,6
4,5449324,6359663,2017-11-03 03:17:35 +0000 UTC,2017-11-03 03:17:35,2017-11-03 03:17:35,Dynasty (2017),1
0,5449324,6392133,2017-11-04 22:12:26 +0000 UTC,2017-11-04 22:12:12,2017-11-04 22:12:26,Orange Is the New Black,6
1,5449324,6403650,2018-01-25 22:25:09 +0000 UTC,2018-01-25 22:24:13,2018-01-25 22:25:09,High Maintenance (2016),2
1,5449324,6412771,2018-07-11 20:24:38 +0000 UTC,2018-07-11 20:24:38,2018-07-11 20:24:38,Good Girls,1
44,5449324,6436079,2018-05-08 13:46:10 +0000 UTC,2018-05-08 13:46:10,2018-05-08 13:46:10,Pokémon,18
45,5449324,6436080,2018-05-08 15:35:28 +0000 UTC,2018-05-08 15:31:14,2018-05-08 15:35:28,Pokémon,18
2,5449324,6450127,2018-07-10 00:06:41 +0000 UTC,2018-07-10 00:06:39,2018-07-10 00:06:41,Samantha!,1
1,5449324,6463399,2018-02-16 17:23:53 +0000 UTC,2018-02-16 17:23:50,2018-02-16 17:23:53,Re:Mind,1
1,5449324,6467028,2018-04-18 23:24:24 +0000 UTC,2018-04-18 23:24:24,2018-04-18 23:24:24,Polyvalente,1
14,5449324,6472374,2018-02-02 19:37:28 +0000 UTC,2018-02-02 19:37:28,2018-02-02 19:37:28,Money Heist,1
15,5449324,6472375,2018-02-02 21:40:14 +0000 UTC,2018-02-02 21:40:14,2018-02-02 21:40:14,Money Heist,1
6,5449324,6479513,2018-03-06 19:55:52 +0000 UTC,2018-03-06 19:55:52,2018-03-06 19:55:52,American Crime Story,2
7,5449324,6479514,2018-03-12 00:03:59 +0000 UTC,2018-03-12 00:03:59,2018-03-12 00:03:59,American Crime Story,2
9,5449324,6485782,2018-03-22 21:28:39 +0000 UTC,2018-03-22 21:28:39,2018-03-22 21:28:39,American Crime Story,2
1,5449324,6497856,2018-03-16 19:26:48 +0000 UTC,2018-03-16 19:26:48,2018-03-16 19:26:48,You Me Her,3
1,5449324,6504355,2018-01-26 16:49:35 +0000 UTC,2018-01-26 16:49:35,2018-01-26 16:49:35,The Handmaid's Tale,2
6,5449324,6521463,2018-07-11 20:23:31 +0000 UTC,2018-07-11 20:23:31,2018-07-11 20:23:31,Good Girls,1
7,5449324,6521464,2018-07-11 20:23:21 +0000 UTC,2018-07-11 20:22:15,2018-07-11 20:23:21,Good Girls,1
8,5449324,6521465,2018-07-11 20:24:07 +0000 UTC,2018-07-11 20:24:07,2018-07-11 20:24:07,Good Girls,1
9,5449324,6521466,2018-07-11 21:34:15 +0000 UTC,2018-07-11 21:34:15,2018-07-11 21:34:15,Good Girls,1
13,5449324,6523423,2018-01-29 21:21:25 +0000 UTC,2018-01-29 21:21:25,2018-01-29 21:21:25,One Day at a Time (2017),2
9,5449324,6530622,2018-03-20 21:51:17 +0000 UTC,2018-03-20 21:50:19,2018-03-20 21:51:17,On My Block,1
2,5449324,6533375,2018-02-16 00:16:17 +0000 UTC,2018-02-16 00:16:17,2018-02-16 00:16:17,Skam France,1
3,5449324,6533382,2018-02-23 13:28:17 +0000 UTC,2018-02-23 13:28:17,2018-02-23 13:28:17,Skam France,1
4,5449324,6533383,2018-03-02 19:21:08 +0000 UTC,2018-02-26 02:46:26,2018-03-02 19:21:08,Skam France,1
5,5449324,6533384,2018-03-11 22:07:08 +0000 UTC,2018-03-11 22:07:08,2018-03-11 22:07:08,Skam France,1
8,5449324,6533387,2018-03-30 19:00:38 +0000 UTC,2018-03-30 19:00:38,2018-03-30 19:00:38,Skam France,1
7,5449324,6535073,2018-02-26 02:46:57 +0000 UTC,2018-02-26 02:46:54,2018-02-26 02:46:57,9-1-1,1
14,5449324,6544900,2018-04-03 20:02:19 +0000 UTC,2018-04-03 20:02:19,2018-04-03 20:02:19,The Simpsons,29
7,5449324,6554398,2018-03-06 20:03:23 +0000 UTC,2018-03-06 20:03:23,2018-03-06 20:03:23,High Maintenance (2016),2
1,5449324,6560947,2018-02-20 19:33:54 +0000 UTC,2018-02-20 19:33:54,2018-02-20 19:33:54,Disjointed,0
0,5449324,6560957,2018-02-21 17:34:27 +0000 UTC,2018-02-21 17:34:27,2018-02-21 17:34:27,Disjointed,2
0,5449324,6570693,2018-07-06 14:10:39 +0000 UTC,2018-07-06 14:10:39,2018-07-06 14:10:39,Sacred Games,1
20,5449324,6579556,2018-09-02 17:07:21 +0000 UTC,2018-07-29 21:20:28,2018-09-02 17:07:21,The Fosters (2013),5
10,5449324,6598516,2018-07-11 22:16:49 +0000 UTC,2018-07-11 22:16:49,2018-07-11 22:16:49,Good Girls,1
4,5449324,6605788,2018-04-11 20:22:36 +0000 UTC,2018-04-11 20:22:36,2018-04-11 20:22:36,You Me Her,3
10,5449324,6605797,2018-05-21 21:13:41 +0000 UTC,2018-05-21 21:13:41,2018-05-21 21:13:41,You Me Her,3
17,5449324,6614297,2018-04-24 20:00:11 +0000 UTC,2018-04-21 19:37:31,2018-04-24 20:00:11,The Simpsons,29
3,5449324,6636942,2018-06-25 01:29:37 +0000 UTC,2018-06-25 01:29:37,2018-06-25 01:29:37,Westworld,2
21,5449324,6639014,2018-05-22 00:18:58 +0000 UTC,2018-05-22 00:17:44,2018-05-22 00:18:58,The Simpsons,29
1,5449324,6646742,2018-06-03 23:54:17 +0000 UTC,2018-06-02 10:00:54,2018-06-03 23:54:17,Orange Is the New Black,6
8,5449324,6651166,2018-07-23 09:23:51 +0000 UTC,2018-07-23 09:23:51,2018-07-23 09:23:51,Pose,1
3,5449324,6651929,2018-04-27 17:24:13 +0000 UTC,2018-04-27 17:24:13,2018-04-27 17:24:13,Skam France,2
6,5449324,6657613,2018-05-07 16:42:27 +0000 UTC,2018-05-06 11:51:31,2018-05-07 16:42:27,Skam France,2
9,5449324,6657618,2018-05-28 18:42:25 +0000 UTC,2018-05-28 18:42:25,2018-05-28 18:42:25,Skam France,2
8,5449324,6661309,2018-07-21 04:04:22 +0000 UTC,2018-07-21 04:04:22,2018-07-21 04:04:22,GLOW,2
2,5449324,6662213,2018-10-20 15:53:52 +0000 UTC,2018-10-20 15:53:50,2018-10-20 15:53:52,SKAM Austin,1
12,5449324,6663646,2018-06-09 14:52:38 +0000 UTC,2018-06-09 14:52:38,2018-06-09 14:52:38,Sense8,2
0,5449324,6667631,2018-06-22 10:58:01 +0000 UTC,2018-06-21 22:49:02,2018-06-22 10:58:01,Nude,1
10,5449324,6667634,2018-06-22 22:26:25 +0000 UTC,2018-06-22 22:26:25,2018-06-22 22:26:25,Nude,1
1,5449324,6671792,2018-10-06 21:13:05 +0000 UTC,2018-10-06 21:13:05,2018-10-06 21:13:05,Elite,1
4,5449324,6690283,2018-07-04 21:02:47 +0000 UTC,2018-07-04 21:02:47,2018-07-04 21:02:47,Westworld,2
1,5449324,6699345,2018-07-08 23:41:31 +0000 UTC,2018-07-08 23:41:31,2018-07-08 23:41:31,Disenchantment,1
8,5449324,6704944,2018-09-02 17:08:03 +0000 UTC,2018-09-02 17:08:03,2018-09-02 17:08:03,Sharp Objects,1
1,5449324,6717884,2018-09-03 00:45:32 +0000 UTC,2018-09-03 00:45:32,2018-09-03 00:45:32,Atypical,2
0,5449324,6717927,2018-07-23 04:54:20 +0000 UTC,2018-07-23 04:54:20,2018-07-23 04:54:20,Rick and Morty,4
8,5449324,6737741,2018-07-27 16:26:58 +0000 UTC,2018-07-27 16:26:58,2018-07-27 16:26:58,Orange Is the New Black,6
11,5449324,6741827,2018-06-30 01:46:41 +0000 UTC,2018-06-30 01:46:41,2018-06-30 01:46:41,The Handmaid's Tale,2
1,5449324,6742898,2018-07-07 22:28:26 +0000 UTC,2018-07-07 22:28:26,2018-07-07 22:28:26,The Purge,1
1,5449324,6751988,2018-07-08 23:55:28 +0000 UTC,2018-07-08 23:55:28,2018-07-08 23:55:28,Sacred Games,1
1,5449324,6755211,2018-07-23 09:31:23 +0000 UTC,2018-07-17 22:57:57,2018-07-23 09:31:23,The Deuce,2
0,5449324,6755291,2018-07-13 00:07:47 +0000 UTC,2018-07-13 00:07:47,2018-07-13 00:07:47,Aggretsuko,2
0,5449324,6765408,2018-07-20 09:32:57 +0000 UTC,2018-07-19 10:32:46,2018-07-20 09:32:57,Arrested Development,5
0,5449324,6773253,2018-07-27 17:10:50 +0000 UTC,2018-07-27 17:10:50,2018-07-27 17:10:50,The Handmaid's Tale,2
10,5449324,6773296,2018-07-27 19:14:16 +0000 UTC,2018-07-27 19:14:16,2018-07-27 19:14:16,Orange Is the New Black,6
9,5449324,6838168,2018-10-19 22:01:56 +0000 UTC,2018-10-19 22:01:56,2018-10-19 22:01:56,Lovleg,1
1,5449324,7059062,2019-07-01 22:26:42 +0000 UTC,2019-07-01 22:26:39,2019-07-01 22:26:42,Euphoria (US),1
